CODE_MUNI_7,YEAR,CASES
1100015,2010,76
1100015,2011,79
1100015,2012,86
1100015,2013,330
1100015,2014,118
1100015,2015,253
1100015,2016,578
1100015,2017,105
1100015,2018,58
1100015,2019,353
1100015,2020,77
1100015,2021,25
1100015,2022,431
1100015,2023,895
1100015,2024,884
1100023,2010,709
1100023,2011,152
1100023,2012,77
1100023,2013,218
1100023,2014,207
1100023,2015,116
1100023,2016,595
1100023,2017,313
1100023,2018,29
1100023,2019,93
1100023,2020,279
1100023,2021,65
1100023,2022,2200
1100023,2023,539
1100023,2024,734
1100031,2010,79
1100031,2011,23
1100031,2012,66
1100031,2013,49
1100031,2014,14
1100031,2015,138
1100031,2016,59
1100031,2017,16
1100031,2018,12
1100031,2019,146
1100031,2020,17
1100031,2021,2
1100031,2022,42
1100031,2023,94
1100031,2024,120
1100049,2010,986
1100049,2011,159
1100049,2012,129
1100049,2013,753
1100049,2014,167
1100049,2015,297
1100049,2016,797
1100049,2017,166
1100049,2018,154
1100049,2019,136
1100049,2020,273
1100049,2021,209
1100049,2022,2282
1100049,2023,736
1100049,2024,442
1100056,2010,184
1100056,2011,204
1100056,2012,185
1100056,2013,891
1100056,2014,37
1100056,2015,83
1100056,2016,497
1100056,2017,346
1100056,2018,22
1100056,2019,32
1100056,2020,252
1100056,2021,7
1100056,2022,55
1100056,2023,242
1100056,2024,357
1100064,2010,639
1100064,2011,320
1100064,2012,240
1100064,2013,277
1100064,2014,70
1100064,2015,54
1100064,2016,239
1100064,2017,177
1100064,2018,51
1100064,2019,61
1100064,2020,119
1100064,2021,26
1100064,2022,5
1100064,2023,101
1100064,2024,75
1100072,2010,32
1100072,2011,22
1100072,2012,56
1100072,2013,59
1100072,2014,19
1100072,2015,64
1100072,2016,77
1100072,2017,10
1100072,2018,11
1100072,2019,16
1100072,2020,76
1100072,2021,2
1100072,2022,4
1100072,2023,122
1100072,2024,61
1100080,2010,364
1100080,2011,164
1100080,2012,74
1100080,2013,261
1100080,2014,179
1100080,2015,25
1100080,2016,43
1100080,2017,0
1100080,2018,4
1100080,2019,6
1100080,2020,33
1100080,2021,33
1100080,2022,55
1100080,2023,68
1100080,2024,237
1100098,2010,563
1100098,2011,74
1100098,2012,72
1100098,2013,883
1100098,2014,38
1100098,2015,353
1100098,2016,532
1100098,2017,383
1100098,2018,66
1100098,2019,15
1100098,2020,259
1100098,2021,27
1100098,2022,499
1100098,2023,183
1100098,2024,275
1100106,2010,1141
1100106,2011,529
1100106,2012,479
1100106,2013,206
1100106,2014,76
1100106,2015,42
1100106,2016,396
1100106,2017,118
1100106,2018,53
1100106,2019,21
1100106,2020,78
1100106,2021,89
1100106,2022,83
1100106,2023,847
1100106,2024,38
1100114,2010,820
1100114,2011,41
1100114,2012,162
1100114,2013,300
1100114,2014,58
1100114,2015,31
1100114,2016,138
1100114,2017,197
1100114,2018,4
1100114,2019,28
1100114,2020,202
1100114,2021,88
1100114,2022,1083
1100114,2023,870
1100114,2024,188
1100122,2010,1219
1100122,2011,145
1100122,2012,99
1100122,2013,422
1100122,2014,290
1100122,2015,164
1100122,2016,1054
1100122,2017,331
1100122,2018,179
1100122,2019,58
1100122,2020,105
1100122,2021,272
1100122,2022,2532
1100122,2023,991
1100122,2024,498
1100130,2010,1217
1100130,2011,160
1100130,2012,57
1100130,2013,364
1100130,2014,177
1100130,2015,93
1100130,2016,914
1100130,2017,155
1100130,2018,30
1100130,2019,62
1100130,2020,112
1100130,2021,57
1100130,2022,427
1100130,2023,431
1100130,2024,1067
1100148,2010,1013
1100148,2011,439
1100148,2012,171
1100148,2013,483
1100148,2014,382
1100148,2015,124
1100148,2016,530
